side,name,page_link,bills,committees,district,party,title,image_url,saved_image
Senate,Kimberly A. Lightford,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2795,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2795,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2795,4,D,,https://www.ilga.gov/images/members/%7B7FBA8DB0-281E-406F-BF9F-ABEB75B7B38E%7D.jpg,senate/kimberly-a-lightford.jpg
Senate,Meg Loughran Cappel,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2982,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2982,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2982,49,D,,https://www.ilga.gov/images/members/%7B344F07C5-9853-49B6-902A-89D5F81637BF%7D.jpg,senate/meg-loughran-cappel.jpg
Senate,Robert F. Martwick,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2970,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2970,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2970,10,D,,https://www.ilga.gov/images/members/%7B8FA2A22C-6775-4098-905C-0C7D8BBD7AEE%7D.jpg,senate/robert-f-martwick.jpg
Senate,Steve McClure,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2933,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2933,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2933,50,R,,https://www.ilga.gov/images/members/%7BEB86B3C4-3F25-4D5C-8944-7B4CBCA7CACE%7D.jpg,senate/steve-mcclure.jpg
Senate,Dan McConchie,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2893,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2893,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2893,26,R,,https://www.ilga.gov/images/members/%7BB3DB61E4-CBA1-4E2C-9DC7-4EEE9F52BCD7%7D.jpg,senate/dan-mcconchie.jpg
Senate,Julie A. Morrison,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2854,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2854,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2854,29,D,,https://www.ilga.gov/images/members/%7B0E6BF8A6-C5C8-4F54-977B-D5FD11707FA5%7D.jpg,senate/julie-a-morrison.jpg
Senate,Antonio Muñoz,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2797,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2797,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2797,1,D,,https://www.ilga.gov/images/members/%7BC4AA7682-5256-4C1D-A7C6-90953534A514%7D.jpg,senate/antonio-muñoz.jpg
Senate,Laura M. Murphy,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2890,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2890,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2890,28,D,,https://www.ilga.gov/images/members/%7BE8C6FBF1-611C-4DD5-A81D-F0FF8917556D%7D.jpg,senate/laura-m-murphy.jpg
Senate,Cristina H. Pacione-Zayas,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=2983,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=2983,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=2983,20,D,,https://www.ilga.gov/images/members/%7B2DA121C4-D6F5-48F7-A1CF-D5AE36076CF1%7D.jpg,senate/cristina-h-pacione-zayas.jpg
Senate,Diane Pappas,https://www.ilga.gov/senate/Senator.asp?GA=102&MemberID=3015,https://www.ilga.gov/senate/SenatorBills.asp?MemberID=3015,https://www.ilga.gov/senate/SenCommittees.asp?MemberID=3015,23,D,,https://www.ilga.gov/images/members/%7B097744FD-73EA-4E14-9A6C-4CDD28E80C5C%7D.jpg,senate/diane-pappas.jpg
